ImageId,EncodedPixels
20200311_151734, 86741 2 87250 11 87760 15 88272 16 88783 18 89295 19 89807 20 90318 22 90830 24 91342 26 91854 28 92365 31 92877 33 93389 35 93900 38 94411 40 94922 42 95433 44 95945 45 96456 47 96968 48 97478 50 97988 53 98497 56 99007 59 99518 60 100030 60 100541 61 101053 62 101565 62 102077 62 102589 62 103101 62 103613 62 104125 62 104637 62 105149 62 105661 62 106173 63 106685 63 107198 61 107710 30 107742 29 108222 28 108256 26 108735 26 108770 22 109248 24 109285 17 109764 17 109800 6
20200311_151734, 49832 15 50339 22 50848 26 51360 27 51868 31 52379 32 52888 35 53395 2 53398 37 53905 42 54416 44 54927 45 55439 45 55950 47 56462 48 56973 49 57485 50 57997 50 58511 48 59023 48 59537 46 60052 43 60569 38 61084 24 61113 6 61597 20 61628 3 62111 18 62629 11 63144 5
20200311_151736, 57688 8 58199 10 58711 12 59221 15 59733 16 60244 18 60756 19 61268 20 61780 21 62292 22 62803 24 63315 25 63827 26 64339 27 64851 27 65363 28 65875 28 66387 28 66899 28 67411 29 67923 29 68435 29 68947 29 69460 28 69972 28 70484 28 70997 26 71510 24 72024 20 72537 17 73050 15 73565 10 74082 1
20200311_151736, 37232 1 37744 1 38256 1 38768 2 39280 2 39778 1 39792 2 40290 1 40296 1 40304 3 40802 17 41314 18 41826 18 42338 18 42850 18 43362 18 43874 18 44386 19 44898 19 45410 18 45923 17 46435 17 46947 17 47459 17 47971 17 48483 17 48996 16 49508 16 50020 16 50532 15 51045 14 51557 14 52070 12 52583 11 53097 7
20200311_151736, 120159 5 120667 10 121178 14 121689 15 122201 15 122712 17 123223 19 123733 27 124245 32 124756 34 125268 35 125780 36 126292 37 126804 38 127315 39 127827 39 128339 40 128852 39 129364 39 129876 39 130388 39 130901 38 131414 36 131926 37 132439 36 132951 36 133464 35 133976 34 134489 33 135001 33 135514 31 136026 30 136539 28 137051 28 137563 28 138077 25 138590 24 139104 7 139114 10 139617 4 139629 6 140130 2
20200311_151736, 241814 6 242324 10 242834 17 243345 19 243855 22 244364 1 244366 23 244876 25 245388 26 245900 26 246412 25 246924 25 247436 25 247948 26 248460 25 248972 25 249484 24 249996 23 250508 22 251020 21 251532 21 252044 19 252557 17 253071 15 253583 13 254098 9
20200311_151736, 38584 2 39096 2 39607 5 40116 9 40626 14 41138 16 41649 19 42161 20 42673 21 43185 21 43696 23 44208 23 44719 24 45231 24 45743 24 46254 25 46766 25 47278 25 47790 25 48302 25 48814 25 49326 25 49838 25 50350 25 50862 25 51375 23 51888 22 52400 19 52913 18 53425 17 53938 15 54450 14 54962 14 55477 7
20200311_151736, 99629 11 100141 13 100653 13 101163 17 101673 20 102184 22 102693 25 103204 26 103715 28 104227 28 104739 27 105251 27 105763 26 106275 26 106788 24 107300 24 107812 24 108324 24 108836 23 109348 23 109860 22 110373 21 110885 20 111398 18 111911 17 112424 13 112937 11 113450 7
20200311_151736, 51508 2 51511 1 52017 17 52527 20 53039 21 53550 22 54061 23 54573 23 55084 24 55596 24 56108 24 56619 24 57131 24 57643 24 58154 25 58666 24 59178 24 59690 24 60203 22 60715 22 61227 22 61739 21 62252 20 62764 19 63276 17 63789 14 64301 12
20200311_151736, 109943 4 109948 1 110442 7 110452 9 110953 20 111461 25 111972 26 112483 27 112994 28 113506 28 114017 29 114529 29 115041 29 115552 30 116064 30 116576 30 117087 31 117599 31 118112 30 118625 29 119139 27 119652 26 120164 25 120677 24 121192 21 121706 17 122224 9
20200311_151736, 37702 11 38213 14 38724 19 39236 21 39747 23 40259 24 40771 25 41283 25 41795 26 42307 26 42819 26 43331 26 43843 27 44356 26 44868 26 45381 26 45894 25 46406 25 46919 25 47431 25 47944 24 48457 23 48970 21 49483 20 49996 18 50509 16 51022 15 51536 12 52051 5
20200311_151736, 210081 3 210591 6 211103 7 211614 8 212125 10 212636 11 213148 12 213660 13 214171 14 214684 13 215196 14 215708 14 216219 16 216731 16 217243 17 217755 18 218267 18 218779 18 219291 19 219803 19 220315 19 220827 19 221339 19 221851 18 222363 19 222875 19 223387 19 223900 18 224413 17 224925 17 225437 16 225949 16 226461 15 226973 15 227486 13 227998 13 228509 14 229021 13 229533 12 230045 11 230557 9 231069 9 231582 7 232094 6 232606 6 233119 3
20200311_151736, 65684 7 66195 11 66707 13 67218 14 67730 15 68243 14 68754 16 69266 17 69778 17 70290 18 70802 19 71314 19 71826 19 72338 20 72850 20 73362 20 73874 20 74386 20 74899 19 75411 19 75923 19 76436 18 76950 16 77463 14 77976 13 78489 12 79002 10 79514 10 80026 10 80542 3
20200311_151736, 28876 2 29386 12 29895 17 30405 19 30916 21 31427 23 31938 25 32449 26 32960 27 33470 28 33981 29 34491 30 35002 31 35514 30 36025 31 36537 30 37049 30 37561 30 38073 29 38586 27 39098 24 39612 21 40125 13
20200311_151736, 54011 12 54522 14 55033 17 55544 21 56055 22 56566 23 57077 24 57588 25 58100 25 58611 26 59123 25 59635 25 60148 24 60663 21 61175 21 61688 20 62201 20 62713 20 63226 18 63738 19 64251 17 64768 5 64775 1
20200311_151736, 139111 3 139621 8 140132 21 140642 26 141154 27 141666 27 142177 29 142689 29 143201 29 143712 30 144224 30 144736 29 145248 28 145760 27 146272 26 146784 26 147297 24 147809 24 148321 23 148833 23 149346 22 149858 21 150370 21 150883 19 151395 18 151908 16 152421 13 152935 9 153449 4 153962 2
20200311_151736, 220458 1 220968 7 221477 12 221988 14 222499 16 223010 18 223521 20 224033 21 224544 22 225055 24 225567 24 226079 25 226590 26 227102 27 227613 29 228125 31 228637 32 229149 33 229661 34 230173 34 230685 34 231197 34 231710 16 231729 13 232222 12 232244 9 232737 4
20200311_151736, 45336 6 45846 11 46357 13 46868 14 47380 15 47891 16 48403 16 48914 17 49426 17 49937 18 50449 18 50961 17 51472 18 51984 18 52495 19 53007 19 53519 19 54031 19 54543 19 55055 18 55567 18 56079 18 56591 17 57103 17 57615 16 58127 15 58640 13 59154 10 59668 6
20200311_151736, 26981 6 27491 10 28002 12 28513 14 29024 15 29535 16 30046 17 30558 18 31070 18 31582 18 32093 19 32605 19 33117 19 33628 20 34140 20 34653 19 35165 19 35677 19 36190 18 36703 17 37215 17 37729 15 38241 15 38754 14 39266 14 39779 13 40291 5 40297 7
20200311_151736, 238898 7 239409 9 239921 10 240432 12 240944 13 241455 14 241967 15 242478 16 242990 17 243502 17 244014 18 244526 18 245038 18 245550 18 246062 18 246575 17 247087 16 247598 16 248111 15 248623 15 249135 14 249647 14 250160 13 250673 11 251185 11 251697 10 252209 10 252723 8 253236 5
20200311_151736, 42139 6 42643 17 43154 20 43666 21 44178 22 44689 24 45201 25 45712 26 46224 27 46736 27 47248 27 47759 28 48271 29 48783 29 49295 29 49808 27 50320 27 50833 26 51346 25 51858 24 52371 23 52885 21 53398 20 53911 18 54424 17 54938 15 55453 11
20200311_151736, 159485 4 159994 8 160505 10 161016 11 161527 13 162038 14 162549 16 163061 16 163573 16 164085 16 164596 18 165108 18 165620 18 166132 18 166644 19 167156 19 167667 20 168179 20 168691 20 169203 20 169715 21 170227 21 170739 20 171251 20 171763 20 172275 20 172788 19 173300 19 173813 18 174325 18 174837 17 175349 16 175861 15 176373 15 176886 13 177398 13 177910 12 178422 12 178934 11 179446 11 179959 9 180472 8 180985 6 181499 3
20200311_151736, 35629 2 36138 13 36650 15 37161 17 37672 19 38184 20 38696 21 39208 22 39720 22 40232 22 40744 22 41256 23 41768 23 42281 22 42793 22 43305 22 43818 20 44333 17 44847 14 45360 12 45873 11 46386 9 46900 6
20200311_151738, 119644 8 120155 11 120666 13 121177 15 121688 18 122199 20 122710 23 123222 28 123733 34 124244 36 124756 37 125268 37 125780 38 126292 38 126804 39 127316 40 127828 40 128340 41 128852 41 129365 40 129877 40 130389 40 130902 39 131415 38 131927 38 132440 36 132952 36 133465 35 133977 34 134489 33 135001 32 135514 30 136026 30 136538 30 137050 30 137562 29 138075 27 138588 25 139102 22 139615 7 139632 1 140129 4 140642 1
20200311_151738, 37743 1 38255 1 38767 2 39279 2 39778 1 39791 3 40290 1 40303 3 40802 2 40814 5 41314 5 41323 8 41826 17 42338 17 42850 17 43362 18 43874 18 44386 17 44898 17 45410 17 45923 16 46435 16 46947 16 47459 16 47971 16 48483 16 48996 15 49508 15 50020 15 50533 14 51045 14 51558 12 52070 12 52583 10 53095 9 53609 6
20200311_151738, 58712 7 59222 12 59733 14 60245 17 60756 19 61267 21 61779 22 62291 24 62803 25 63315 26 63827 26 64339 27 64851 27 65363 28 65875 28 66387 28 66899 28 67411 28 67923 28 68436 27 68948 27 69460 26 69972 26 70485 25 70997 25 71510 24 72024 21 72537 20 73050 18 73564 16 74077 13 74591 10 75107 1
20200311_151738, 199318 5 199828 9 200339 11 200851 12 201362 14 201874 15 202385 17 202897 18 203410 17 203922 18 204434 18 204946 18 205458 19 205970 19 206482 20 206994 20 207506 20 208018 21 208530 20 209042 21 209554 21 210066 21 210578 21 211091 20 211603 20 212115 20 212628 19 213142 17 213655 16 214168 15 214681 13 215193 13 215706 12 216219 11 216732 9 217245 8 217757 8 218270 6 218782 6 219295 4
20200311_151738, 219955 5 220467 5 220978 7 221488 11 221999 14 222509 18 223020 20 223532 21 224043 23 224555 23 225067 24 225578 26 226090 27 226602 27 227114 27 227626 28 228138 28 228650 28 229162 28 229675 27 230188 26 230701 24 231215 22 231728 20 232241 19 232755 15 233268 13 233783 7
20200311_151738, 53501 9 54011 14 54522 17 55033 20 55544 22 56055 24 56567 24 57079 25 57590 26 58102 26 58615 25 59127 25 59640 24 60153 23 60666 22 61178 22 61691 21 62203 21 62716 20 63228 19 63743 16 64257 13
20200311_151738, 39096 6 39608 8 40119 11 40629 15 41140 17 41651 19 42162 20 42674 20 43185 21 43697 21 44208 22 44720 22 45231 23 45743 24 46255 24 46766 25 47278 25 47790 24 48302 24 48813 25 49325 26 49837 25 50349 26 50861 26 51372 26 51884 26 52397 23 52910 21 53423 18 53936 17 54448 16 54960 15 55473 13 55986 9 56499 6
20200311_151738, 157945 8 158455 12 158965 14 159476 16 159986 18 160498 19 161009 20 161520 21 162032 21 162543 22 163054 23 163566 22 164078 22 164589 22 165101 22 165613 22 166124 22 166636 22 167148 22 167660 22 168172 21 168684 21 169196 21 169708 21 170220 21 170732 20 171244 20 171756 19 172269 16 172781 14 173293 13 173806 12 174319 11 174831 11 175344 10 175857 8 176370 6
20200311_151738, 44319 3 44828 8 45338 10 45849 12 46360 12 46868 1 46870 14 47380 16 47891 17 48402 19 48914 19 49426 18 49938 18 50450 18 50962 18 51474 18 51986 18 52498 18 53010 18 53521 18 54033 18 54545 18 55057 18 55569 17 56081 17 56593 16 57106 14 57618 13 58130 12 58644 10 59157 8 59670 6 60183 4
20200311_151738, 50998 4 51508 14 52019 17 52529 19 53039 21 53550 23 54061 24 54572 25 55084 26 55595 26 56106 27 56618 27 57129 27 57640 28 58152 27 58663 28 59176 26 59688 26 60200 25 60712 25 61225 23 61737 22 62250 20 62763 18 63276 15 63791 2 63797 4
20200311_151738, 241299 1 241811 1 241813 7 242321 13 242832 19 242852 1 243342 23 243853 25 244364 27 244875 29 245387 29 245899 29 246411 27 246439 1 246924 25 247436 25 247948 25 248460 25 248972 24 249485 22 249997 22 250509 20 251021 20 251533 19 252045 18 252558 16 253070 15 253583 13 254095 11 254612 5
20200311_151738, 99631 7 100141 11 100653 11 101163 14 101674 16 102184 19 102693 22 103203 25 103715 25 104227 26 104739 26 105251 26 105763 25 106276 24 106788 24 107300 24 107812 24 108324 24 108836 24 109348 24 109860 23 110372 23 110885 21 111397 21 111909 20 112422 17 112934 17 113448 13 113961 9 114476 1
20200311_151738, 26826 9 27337 11 27845 17 28356 19 28866 21 29377 22 29887 25 30397 27 30908 28 31419 29 31931 29 32442 30 32954 30 33465 31 33977 31 34489 30 35001 30 35513 30 36025 29 36538 27 37050 26 37564 23 38079 20 38596 13 39118 1
20200311_151738, 139622 10 139633 7 140133 21 140643 26 141154 29 141666 29 142177 30 142689 30 143200 31 143712 30 144224 30 144736 29 145248 29 145760 28 146272 27 146784 26 147297 25 147809 24 148321 24 148833 23 149345 23 149858 21 150370 21 150882 20 151394 18 151907 16 152420 14 152933 11 153448 7
20200311_151738, 34974 1 35482 7 35992 10 36005 1 36503 15 37014 16 37524 19 38035 20 38547 20 39059 20 39571 20 40082 20 40594 20 41105 21 41617 20 42129 20 42641 20 43152 20 43664 20 44176 19 44687 20 45199 20 45711 19 46222 20 46734 19 47246 19 47758 18 48270 18 48782 17 49294 17 49807 15 50320 13 50832 12 51346 9
20200311_151738, 37702 7 38213 12 38724 17 39236 18 39747 21 40259 22 40771 23 41283 24 41795 25 42307 25 42819 26 43331 26 43843 26 44356 25 44869 25 45381 25 45894 25 46406 25 46919 24 47431 24 47944 23 48456 23 48969 21 49482 20 49995 19 50507 18 51020 16 51533 14 52048 9
20200311_151738, 25957 7 26468 9 26979 10 27490 12 28001 13 28512 14 29023 15 29534 16 30045 18 30557 18 31069 18 31580 19 32092 19 32604 19 33116 19 33628 19 34140 19 34652 19 35164 19 35677 18 36189 18 36702 17 37215 16 37728 15 38240 15 38753 14 39266 13 39779 12 40291 12 40804 10 41319 4
20200311_151738, 238899 6 239410 9 239921 11 240433 11 240944 13 241456 14 241967 15 242479 16 242991 16 243503 17 244015 17 244527 17 245039 17 245551 18 246063 18 246575 17 247087 17 247599 16 248111 16 248623 15 249135 15 249648 14 250160 14 250673 13 251185 12 251697 12 252209 11 252721 11 253235 8 253750 4
20200311_151738, 136450 3 136961 6 137472 8 137984 9 138495 11 139006 14 139518 15 140030 16 140542 17 141055 17 141567 17 142079 18 142591 18 143103 18 143615 19 144128 18 144640 19 145152 20 145664 20 146176 20 146688 21 147200 21 147712 21 148224 21 148737 20 149249 20 149761 20 150273 20 150786 19 151298 18 151810 18 152324 15 152837 14 153350 13 153862 12 154374 12 154887 11 155399 10 155912 9 156424 8 156936 8 157449 7 157961 6 158474 5 158986 4 159499 2
20200311_151738, 232107 4 232618 5 233122 13 233632 17 234143 19 234655 20 235167 21 235679 21 236191 22 236703 22 237215 22 237728 21 238240 22 238752 22 239265 21 239777 21 240290 20 240802 21 241314 20 241826 21 242339 19 242851 1 242853 17 243365 17 243878 16 244391 15 244904 13 245416 13 245929 12 246442 11 246954 10 247467 9 247981 6
20200311_151738, 35627 9 36131 21 36642 24 37154 25 37667 25 38179 26 38692 1 38695 22 39208 22 39720 22 40233 21 40745 21 41257 22 41770 21 42282 21 42794 21 43307 20 43819 20 44333 17 44848 13 45362 10 45875 8 46390 3
20200311_151738, 106855 4 107364 13 107874 17 108384 21 108894 24 109405 26 109917 26 110429 27 110941 27 111454 27 111966 27 112478 27 112991 26 113504 25 114017 24 114529 24 115042 23 115554 23 116067 23 116580 22 117093 21 117605 22 118119 20 118634 17 119148 15 119664 11 120180 7 120693 6 121206 5
20200311_151740, 37231 1 37743 1 38255 2 38767 3 39279 3 39791 3 40291 1 40293 1 40302 5 40803 4 40814 6 41315 17 41827 17 42339 17 42851 17 43363 17 43875 17 44387 17 44899 17 45411 17 45923 17 46436 16 46948 16 47460 16 47972 16 48484 15 48996 15 49508 15 50021 13 50533 13 51045 13 51558 12 52070 12 52582 11 53095 10 53608 8 54120 8 54635 3
20200311_151740, 54012 9 54522 14 55032 19 55543 22 56054 24 56566 25 57077 26 57589 27 58101 27 58613 27 59125 27 59638 26 60150 26 60663 25 61176 24 61689 23 62201 23 62714 22 63226 21 63739 20 64252 18 64769 6 64777 1 64779 1
20200311_151740, 120157 6 120667 10 121179 11 121690 12 122202 12 122714 13 123225 16 123736 28 124247 32 124758 34 125269 35 125781 36 126293 36 126804 38 127316 38 127828 38 128340 38 128853 37 129365 37 129877 37 130389 37 130902 37 131415 36 131927 37 132440 36 132952 36 133465 34 133977 33 134489 33 135002 31 135514 30 136026 30 136538 30 137050 29 137563 28 138076 26 138588 24 139102 9 139113 10 139616 5 139628 1 139630 4 140130 2
20200311_151740, 58202 8 58712 11 59222 15 59733 18 60244 20 60756 22 61267 24 61779 25 62291 26 62802 27 63314 28 63826 28 64338 29 64850 29 65362 29 65874 29 66386 29 66898 30 67410 30 67923 29 68435 29 68947 29 69459 29 69972 28 70484 28 70996 28 71510 25 72023 24 72536 23 73049 21 73563 18 74078 14 74594 8 75109 4
20200311_151740, 99630 10 100141 12 100653 13 101164 16 101675 18 102186 19 102698 20 103209 21 103720 23 104231 24 104742 24 105253 25 105765 24 106277 24 106789 24 107301 24 107812 25 108324 25 108836 24 109348 24 109860 24 110372 23 110884 22 111396 21 111908 20 112420 19 112933 14 113448 9 113964 1
20200311_151740, 41654 9 42164 13 42675 15 43186 18 43697 20 44208 22 44720 22 45230 24 45742 24 46251 1 46253 25 46765 25 47275 27 47787 27 48299 27 48811 27 49323 26 49835 26 50347 26 50859 26 51371 26 51883 24 52395 23 52908 21 53420 20 53933 19 54447 16 54961 14 55475 9
20200311_151740, 218940 5 219451 8 219961 11 220469 17 220981 18 221492 20 222003 22 222515 22 223027 23 223538 25 224050 26 224562 27 225074 27 225586 28 226098 28 226610 29 227123 28 227635 28 228147 28 228660 28 229173 27 229688 24 230202 22 230724 11 231239 8
20200311_151740, 25957 6 26467 9 26978 11 27489 13 28000 14 28512 14 29023 15 29535 15 30046 17 30558 17 31070 17 31581 18 32093 18 32605 18 33117 18 33629 18 34141 18 34654 17 35166 17 35679 16 36191 16 36704 15 37217 14 37729 14 38241 14 38754 13 39266 13 39779 12 40292 1 40294 8 40807 7
20200311_151740, 221876 10 222385 15 222893 20 223404 22 223916 23 224427 24 224939 25 225450 26 225962 27 226474 28 226985 29 227497 29 228009 29 228521 29 229034 28 229546 26 229573 1 230058 26 230570 24 231083 22 231595 22 232109 19 232623 16 233138 8
20200311_151740, 156947 4 157458 6 157969 8 158481 8 158992 10 159504 10 160015 12 160527 12 161038 14 161550 14 162061 16 162572 17 163084 17 163596 17 164107 18 164619 18 165131 19 165643 19 166154 20 166666 19 167178 19 167690 19 168202 19 168714 19 169226 19 169738 19 170250 18 170762 18 171274 18 171786 18 172298 17 172810 17 173322 16 173833 17 174345 16 174857 15 175369 15 175881 13 176392 13 176904 12 177416 11 177927 11 178439 10 178950 10 179462 9 179974 8 180485 9 180997 8 181509 7 182021 7 182534 6 183046 5 183559 4
20200311_151740, 240791 2 241301 6 241812 10 242323 15 242834 17 243345 20 243855 23 244366 24 244877 26 245388 27 245900 26 246411 26 246923 26 247435 26 247947 25 248459 24 248971 23 249483 22 249995 22 250507 21 251020 20 251532 19 252044 19 252556 19 253068 18 253581 15 254093 12 254605 7 255117 5 255630 2
20200311_151740, 44826 9 45337 11 45848 12 46360 12 46870 14 47380 16 47891 18 48403 18 48915 18 49427 18 49939 18 50451 18 50963 18 51475 18 51987 17 52499 17 53011 17 53522 18 54034 18 54547 17 55059 17 55571 17 56083 16 56595 15 57107 15 57619 14 58132 13 58644 11 59158 8 59672 5
20200311_151740, 25801 9 26313 10 26822 14 27333 16 27844 18 28355 19 28867 20 29378 21 29890 21 30401 22 30913 22 31425 22 31936 23 32448 23 32960 23 33471 23 33983 23 34495 23 35007 22 35519 21 36031 21 36543 20 37055 20 37568 18 38080 18 38593 17 39106 15 39619 13 40133 9
20200311_151740, 37707 8 38218 13 38728 16 39237 19 39748 21 40260 22 40771 24 41283 24 41795 25 42307 26 42819 26 43331 26 43843 26 44356 26 44868 26 45381 25 45894 24 46406 25 46919 24 47432 23 47944 23 48457 21 48970 19 49483 18 49995 17 50509 14 51021 13 51534 12 52048 8
20200311_151740, 103273 4 103782 8 104293 10 104804 12 105316 12 105827 13 106339 14 106851 15 107363 16 107875 17 108386 19 108898 20 109411 19 109923 20 110435 21 110947 21 111459 21 111971 22 112483 22 112995 22 113507 23 114020 23 114532 23 115044 24 115557 24 116069 24 116581 24 117094 23 117607 22 118119 21 118633 18 119146 16 119659 14 120172 13 120687 8 121203 3
20200311_151740, 51516 4 52023 11 52529 18 53038 22 53550 22 54061 23 54572 25 55084 25 55596 25 56107 25 56619 25 57131 25 57642 25 58154 25 58666 25 59178 24 59690 24 60202 23 60714 23 61226 23 61739 21 62251 21 62763 20 63276 18 63789 16 64303 3 64308 7
20200311_151740, 157950 4 158461 5 158971 8 159481 11 159992 12 160503 14 161014 15 161525 16 162036 17 162548 17 163060 18 163572 18 164083 19 164595 19 165107 19 165619 19 166131 19 166643 20 167155 20 167667 20 168179 20 168691 20 169203 20 169715 20 170227 20 170739 20 171251 20 171763 19 172275 19 172787 19 173299 19 173811 19 174324 17 174836 17 175348 17 175860 16 176372 14 176884 14 177396 12 177909 11 178422 9 178934 7 179447 6 179960 4
20200311_151740, 139111 2 139621 7 139629 1 139634 5 140132 21 140643 24 141154 26 141666 27 142178 28 142689 29 143201 29 143713 29 144224 29 144736 28 145248 28 145760 27 146272 26 146784 26 147296 25 147809 24 148321 23 148833 23 149345 22 149857 22 150370 20 150882 18 151394 17 151906 16 152419 13 152932 12 153445 9
20200311_151740, 238390 1 238899 7 239410 9 239922 10 240433 12 240944 14 241456 14 241968 14 242479 16 242991 16 243503 16 244015 17 244527 17 245039 17 245551 17 246063 17 246575 17 247087 17 247599 16 248111 15 248623 15 249135 15 249647 15 250160 14 250673 12 251185 12 251697 11 252209 10 252721 10 253238 5 253750 2
20200311_151740, 34458 9 34468 1 34969 13 35480 14 35991 15 36502 16 37013 17 37524 18 38035 20 38547 20 39058 21 39570 20 40082 20 40594 20 41106 20 41618 19 42129 20 42641 19 43153 19 43665 18 44177 18 44689 17 45201 17 45712 17 46224 17 46736 16 47248 16 47761 14 48273 14 48785 13 49297 12 49810 10 50322 9 50836 7 51349 5
20200311_151740, 28436 8 28947 12 29457 16 29964 22 30475 24 30987 25 31498 28 32010 28 32522 28 33034 29 33546 29 34059 28 34572 26 35085 25 35599 23 36112 22 36625 21 37137 20 37650 18 38162 18 38675 15 39187 14 39699 11 40213 7 40725 3
20200311_151740, 237229 2 237739 7 238250 11 238761 14 239273 15 239786 14 240297 15 240809 16 241320 17 241832 17 242344 17 242855 18 243367 18 243879 18 244391 19 244903 18 245415 18 245927 18 246440 17 246952 17 247463 18 247975 17 248487 17 248999 17 249511 16 250023 16 250535 15 251047 14 251560 8 252072 7 252584 6 253098 3
20200311_151740, 255667 13 256175 18 256687 18 257199 18 257711 18 258225 18 258737 19 259248 19 259760 19 260271 19 260785 15 261295 9 261306 5
20200311_151802, 54014 8 54522 14 55032 19 55543 21 56054 24 56565 25 57076 27 57588 27 58100 28 58612 28 59123 29 59635 29 60149 27 60661 27 61175 26 61688 25 62200 25 62713 23 63225 23 63738 22 64251 20 64769 3
